task,zero_shot,lora_baseline,lr,steps,rank,lora_target_modules,data_size,warmup_ratio
ade_corpus_v2,0.6930272108843537,0.6700680272108843,0.0003,400,64,kqvogdu,100,0.1
anli,0.535,0.676,0.0003,400,64,kqvogdu,100,0.1
aqua_rat,0.33858267716535434,0.3228346456692913,0.0003,400,64,kqvogdu,100,0.1
arc_challenge,0.8575085324232082,0.8703071672354948,0.0003,400,64,kqvogdu,100,0.1
arc_easy,0.930976430976431,0.9431818181818182,0.0003,400,64,kqvogdu,100,0.1
banking77,0.34675324675324676,0.6516233766233767,0.0003,400,64,kqvogdu,100,0.1
boolean_expressions,0.797,0.833,0.0003,400,64,kqvogdu,100,0.1
circa,0.09892033848847388,0.8430113802159322,0.0003,400,64,kqvogdu,100,0.1
clinc_oos,0.3746,0.6996,0.0003,400,64,kqvogdu,100,0.1
commonsense_qa,0.68,0.6594871794871795,0.0003,400,64,kqvogdu,100,0.1
cryptonews_articles,0.3656,0.4716,0.0003,400,64,kqvogdu,100,0.1
disfl_qa,0.35625,0.4175,0.0003,400,64,kqvogdu,100,0.1
elementary_math_qa_question_only,0.016905071521456438,0.19505851755526657,0.0003,400,64,kqvogdu,100,0.1
formal_fallacies_syllogisms_negation,0.6211267605633802,0.576056338028169,0.0003,400,64,kqvogdu,100,0.1
glue_cola,0.8271028037383178,0.8329439252336449,0.0003,400,64,kqvogdu,100,0.1
glue_mnli,0.813,0.8336,0.0003,400,64,kqvogdu,100,0.1
glue_mrpc,0.7286956521739131,0.6933333333333334,0.0003,400,64,kqvogdu,100,0.1
glue_qnli,0.8706,0.876,0.0003,400,64,kqvogdu,100,0.1
glue_qqp,0.8192,0.7952,0.0003,400,64,kqvogdu,100,0.1
glue_sst2,0.9138,0.906,0.0003,400,64,kqvogdu,100,0.1
gsm8k,,0.8013646702047005,0.0003,400,64,kqvogdu,100,0.1
hyperbaton,0.7856,0.9278,0.0003,400,64,kqvogdu,100,0.1
intersect_geometry,0.072,0.182,0.0003,400,64,kqvogdu,100,0.1
machine_paraphrase_dataset,0.6373824294576746,0.8765259155493296,0.0003,400,64,kqvogdu,100,0.1
medmcqa,0.5832,0.5764,0.0003,400,64,kqvogdu,100,0.1
mmlu_combined,0.6363636363636364,0.6363636363636364,0.0003,400,64,kqvogdu,100,0.1
mmlu_pro,0.2632890365448505,0.27740863787375414,0.0003,400,64,kqvogdu,100,0.1
mnist_ascii,0.0982,0.2916,0.0003,400,64,kqvogdu,100,0.1
multistep_arithmetic,0.05333333333333334,0.275,0.0003,400,64,kqvogdu,100,0.1
object_counting,0.4342105263157895,0.7091412742382271,0.0003,400,64,kqvogdu,100,0.1
openmathinstruct_2,0.0014005602240896359,0.16926770708283315,0.0003,400,64,kqvogdu,100,0.1
overruling,0.8875,0.95,0.0003,400,64,kqvogdu,100,0.1
qa_wikidata,0.42689486552567235,0.7266503667481663,0.0003,400,64,kqvogdu,100,0.1
qasc,0.9066339066339066,0.9791154791154791,0.0003,400,64,kqvogdu,100,0.1
quail,0.6526829268292683,0.7326829268292683,0.0003,400,64,kqvogdu,100,0.1
race_high,0.826186392224128,0.7947398513436249,0.0003,400,64,kqvogdu,100,0.1
reasoning_about_colored_objects,0.44,0.72125,0.0003,400,64,kqvogdu,100,0.1
sciq,0.405,0.466,0.0003,400,64,kqvogdu,100,0.1
sports_understanding,0.6898047722342733,0.7559652928416486,0.0003,400,64,kqvogdu,100,0.1
stackoverflow_questions,0.2571894758311238,0.27370997348562104,0.0003,400,64,kqvogdu,100,0.1
super_glue_boolq,,0.855779427359491,0.0003,400,64,kqvogdu,100,0.1
super_glue_copa,0.875,0.925,0.0003,400,64,kqvogdu,100,0.1
super_glue_rte,0.9036144578313253,0.8955823293172691,0.0003,400,64,kqvogdu,100,0.1
super_glue_wic,0.7034990791896869,0.6408839779005525,0.0003,400,64,kqvogdu,100,0.1
super_glue_wsc,0.5535714285714286,0.4642857142857143,0.0003,400,64,kqvogdu,100,0.1
temporal_sequences,0.36,1.0,0.0003,400,64,kqvogdu,100,0.1
toxic_chat,0.9486,0.9476,0.0003,400,64,kqvogdu,100,0.1
tracking_shuffled_objects,0.2,0.22933333333333333,0.0003,400,64,kqvogdu,100,0.1
tweet_eval_hate,0.5239057239057239,0.564983164983165,0.0003,400,64,kqvogdu,100,0.1
tweet_topic_single,0.6863783465725213,0.8022947925860547,0.0003,400,64,kqvogdu,100,0.1
twitter_complaints,0.8318840579710145,0.881159420289855,0.0003,400,64,kqvogdu,100,0.1
twitter_financial_news_sentiment,0.7581151832460733,0.8146596858638744,0.0003,400,64,kqvogdu,100,0.1
typescript_chunks,0.9404,0.9818,0.0003,400,64,kqvogdu,100,0.1
unarxive_imrad_clf,0.3137924111624172,0.6350130495884361,0.0003,400,64,kqvogdu,100,0.1
unit_conversion_si_conversion,0.17,0.20333333333333334,0.0003,400,64,kqvogdu,100,0.1
web_of_lies,0.5469798657718121,0.5654362416107382,0.0003,400,64,kqvogdu,100,0.1
xnli_de,0.6166,0.6542,0.0003,400,64,kqvogdu,100,0.1
xnli_en,0.6994,0.8726,0.0003,400,64,kqvogdu,100,0.1
xnli_es,0.6446,0.6202,0.0003,400,64,kqvogdu,100,0.1
xnli_fr,0.628,0.8036,0.0003,400,64,kqvogdu,100,0.1
xnli_hi,0.5554,0.485,0.0003,400,64,kqvogdu,100,0.1
xnli_th,0.5946,0.6612,0.0003,400,64,kqvogdu,100,0.1
