idx,Model ID,Mean,ade_corpus_v2,anli,aqua_rat,arc_challenge,arc_easy,banking77,boolean_expressions,circa,clinc_oos,commonsense_qa,cryptonews_articles,disfl_qa,elementary_math_qa_question_only,formal_fallacies_syllogisms_negation,glue_cola,glue_mnli,glue_mrpc,glue_qnli,glue_qqp,glue_sst2,gsm8k,hyperbaton,intersect_geometry,machine_paraphrase_dataset,medmcqa,mmlu_combined,mmlu_pro,mnist_ascii,multistep_arithmetic,object_counting,openmathinstruct_2,overruling,qa_wikidata,qasc,quail,race_high,reasoning_about_colored_objects,sciq,sports_understanding,stackoverflow_questions,super_glue_boolq,super_glue_copa,super_glue_rte,super_glue_wic,super_glue_wsc,temporal_sequences,toxic_chat,tracking_shuffled_objects,tweet_eval_hate,tweet_topic_single,twitter_complaints,twitter_financial_news_sentiment,typescript_chunks,unarxive_imrad_clf,unit_conversion_si_conversion,web_of_lies,xnli_de,xnli_en,xnli_es,xnli_fr,xnli_hi,xnli_th
0,154teru/LLM2025-SFT-LoRA,0.5685416666666666,0.79,0.55,0.42,0.88,0.96,0.23,0.57,0.06,0.39,0.65,0.42,0.34,0.0,0.63,0.82,0.88,0.72,0.84,0.81,0.88,0.95,0.71,0.07,0.72,0.53,0.62,0.3,0.08,0.07,0.32,0.0,0.92,0.42,0.9,0.57,0.84,0.39,0.38,0.69,0.23958333333333334,0.84,0.67,0.83,0.71,0.62,0.47,0.94,0.24,0.64,0.81,0.89,0.65,0.84,0.33,0.14,0.53,0.59,0.69,0.66,0.61,0.44,0.55
1,1984akg/qwen3-4b-structured-output-lora-rev.02,0.5672916666666666,0.79,0.57,0.41,0.87,0.96,0.27,0.6,0.05,0.35,0.61,0.42,0.35,0.0,0.65,0.84,0.85,0.72,0.85,0.79,0.86,0.95,0.75,0.06,0.74,0.48,0.63,0.23,0.12,0.09,0.34,0.01,0.91,0.44,0.88,0.54,0.83,0.28,0.39,0.7,0.3020833333333333,0.85,0.69,0.86,0.64,0.66,0.47,0.93,0.22,0.65,0.8,0.88,0.67,0.9,0.32,0.18,0.48,0.58,0.67,0.61,0.63,0.46,0.54
2,251zs02509/epo2_seqlen1024,0.570994623655914,0.79,0.56,0.38,0.87,0.97,0.27,0.63,0.05,0.38,0.63,0.41,0.37,0.01,0.61,0.82,0.87,0.71,0.84,0.81,0.86,0.95,0.65,0.06,0.78,0.52,0.6,0.31,0.11,0.06,0.37,0.01,0.91,0.42,0.88,0.59,0.84,0.38,0.4,0.69,0.2916666666666667,0.83,0.69,0.85,0.7,0.6,0.46,0.95,0.18,0.64,0.81,0.87,0.69,0.85,0.34,0.13,0.52,0.57,0.7,0.65,0.63,0.47,0.61
3,251zs02509/epo2_useupsampling_1,0.5714784946236559,0.79,0.52,0.39,0.88,0.96,0.27,0.62,0.05,0.38,0.65,0.4,0.4,0.01,0.65,0.82,0.86,0.71,0.82,0.79,0.86,0.97,0.67,0.06,0.78,0.54,0.6,0.31,0.08,0.06,0.4,0.0,0.92,0.39,0.88,0.59,0.84,0.37,0.36,0.67,0.2916666666666667,0.83,0.69,0.84,0.71,0.59,0.46,0.95,0.21,0.64,0.81,0.87,0.7,0.87,0.33,0.17,0.58,0.57,0.7,0.65,0.6,0.47,0.58
4,251zs02509/nomal_epo10,0.5582594086021506,0.78,0.55,0.41,0.8,0.92,0.22,0.55,0.05,0.33,0.55,0.4,0.32,0.01,0.65,0.83,0.84,0.7,0.79,0.81,0.88,0.95,0.67,0.06,0.67,0.52,0.6,0.28,0.09,0.08,0.29,0.0,0.93,0.43,0.84,0.58,0.84,0.35,0.39,0.66,0.3020833333333333,0.8,0.71,0.76,0.67,0.64,0.47,0.93,0.23,0.63,0.81,0.9,0.63,0.82,0.35,0.14,0.49,0.66,0.69,0.64,0.68,0.52,0.52
5,251zs02509/nomal_epo2,0.5729368279569891,0.79,0.55,0.39,0.88,0.96,0.29,0.62,0.05,0.38,0.65,0.4,0.4,0.0,0.62,0.83,0.86,0.71,0.85,0.8,0.87,0.94,0.67,0.07,0.79,0.53,0.61,0.31,0.1,0.06,0.38,0.01,0.91,0.4,0.88,0.58,0.84,0.37,0.42,0.67,0.3020833333333333,0.83,0.71,0.84,0.7,0.57,0.47,0.95,0.22,0.64,0.81,0.87,0.68,0.85,0.34,0.16,0.59,0.56,0.69,0.65,0.61,0.47,0.57
6,255yossya/matsuollm2025_main_lora_repo_v10,0.5067473118279571,0.83,0.48,0.43,0.8,0.94,0.3,0.61,0.06,0.32,0.43,0.44,0.28,0.01,0.64,0.77,0.55,0.8,0.54,0.83,0.83,0.84,0.64,0.0,0.74,0.4,0.51,0.15,0.11,0.1,0.15,0.0,0.85,0.35,0.76,0.5,0.76,0.45,0.35,0.55,0.20833333333333334,0.75,0.51,0.62,0.65,0.6,0.41,0.95,0.26,0.58,0.82,0.91,0.73,0.85,0.24,0.1,0.5,0.45,0.55,0.47,0.48,0.29,0.39
7,255yossya/matsuollm2025_main_lora_repo_v11,0.540154569892473,0.79,0.53,0.43,0.84,0.95,0.31,0.65,0.07,0.31,0.56,0.41,0.33,0.01,0.65,0.8,0.68,0.74,0.66,0.8,0.83,0.91,0.7,0.01,0.79,0.46,0.56,0.22,0.05,0.1,0.26,0.0,0.91,0.41,0.82,0.46,0.77,0.38,0.38,0.58,0.23958333333333334,0.8,0.56,0.69,0.68,0.61,0.44,0.94,0.24,0.58,0.84,0.91,0.7,0.77,0.27,0.16,0.51,0.59,0.64,0.65,0.65,0.44,0.46
8,255yossya/matsuollm2025_main_lora_repo_v12,0.46080645161290307,0.77,0.5,0.32,0.73,0.89,0.3,0.54,0.04,0.31,0.35,0.42,0.25,0.0,0.64,0.72,0.54,0.73,0.52,0.68,0.81,0.84,0.6,0.02,0.61,0.35,0.44,0.17,0.1,0.11,0.16,0.0,0.6,0.26,0.75,0.46,0.71,0.38,0.36,0.61,0.25,0.72,0.46,0.61,0.5,0.52,0.49,0.86,0.19,0.58,0.77,0.82,0.51,0.79,0.22,0.16,0.48,0.32,0.41,0.35,0.32,0.32,0.33
9,255yossya/matsuollm2025_main_lora_repo_v13,0.46643145161290317,0.76,0.5,0.28,0.72,0.9,0.28,0.52,0.04,0.25,0.29,0.39,0.27,0.02,0.67,0.75,0.57,0.71,0.58,0.74,0.81,0.86,0.58,0.0,0.61,0.33,0.47,0.21,0.15,0.1,0.17,0.0,0.65,0.33,0.69,0.52,0.71,0.29,0.35,0.58,0.21875,0.72,0.51,0.59,0.57,0.59,0.39,0.79,0.2,0.56,0.66,0.85,0.56,0.79,0.27,0.07,0.48,0.4,0.52,0.43,0.42,0.32,0.36
